Session,Session_Type,Num_Erotic,Num_Control,Erotic.Hits.PC,Control.Hits.PC,Stimulus.Seeking,Date,StartTime,Session.Length,Participant.Sex,Participant.Age,ExpSex
1,Erotic-Negative-Neutral,12,36,50,45.83333333,3,5/30/2006,6:30PM,14.94333,Female,20,Female
2,Erotic-Negative-Neutral,12,36,58.33333333,50,4.5,6/2/2006,12:06PM,13.63722,Male,20,Female
3,Erotic-Negative-Neutral,12,36,66.66666667,45.83333333,2,6/2/2006,12:35PM,11.83861,Female,19,Female
4,Erotic-Negative-Neutral,12,36,58.33333333,50,3,6/2/2006,4:09PM,12.90917,Male,22,Female
5,Erotic-Negative-Neutral,12,36,66.66666667,33.33333333,3,6/2/2006,4:32PM,13.20028,Female,22,Female
6,Erotic-Negative-Neutral,12,36,66.66666667,54.16666667,3,6/3/2006,2:08PM,12.13056,Male,20,Female
7,Erotic-Negative-Neutral,12,36,50,62.5,3,6/4/2006,1:09PM,12.60056,Male,19,Female
8,Erotic-Negative-Neutral,12,36,41.66666667,75,2,6/5/2006,4:43PM,16.1825,Female,21,Female
9,Erotic-Negative-Neutral,12,36,58.33333333,45.83333333,2.5,6/6/2006,12:08PM,12.43833,Male,19,Female
10,Erotic-Negative-Neutral,12,36,41.66666667,62.5,4,6/6/2006,12:43PM,11.95417,Female,21,Female
11,Erotic-Negative-Neutral,12,36,66.66666667,41.66666667,2,6/6/2006,1:08PM,12.49833,Female,18,Female
12,Erotic-Negative-Neutral,12,36,50,79.16666667,1.5,6/6/2006,1:29PM,13.46778,Male,22,Female
13,Erotic-Negative-Neutral,12,36,58.33333333,41.66666667,2.5,6/6/2006,3:44PM,12.72528,Female,23,Female
14,Erotic-Negative-Neutral,12,36,66.66666667,54.16666667,3,6/6/2006,5:37PM,12.35889,Female,20,Female
15,Erotic-Negative-Neutral,12,36,58.33333333,54.16666667,1,6/7/2006,12:32PM,12.20333,Male,23,Female
16,Erotic-Negative-Neutral,12,36,66.66666667,54.16666667,4,6/7/2006,12:54PM,12.65972,Male,20,Female
17,Erotic-Negative-Neutral,12,36,66.66666667,58.33333333,3,6/7/2006,2:43PM,12.77167,Female,21,Female
18,Erotic-Negative-Neutral,12,36,41.66666667,62.5,3.5,6/7/2006,6:29PM,11.77028,Female,20,Female
19,Erotic-Negative-Neutral,12,36,58.33333333,41.66666667,3,6/8/2006,12:36PM,11.6775,Male,25,Female
20,Erotic-Negative-Neutral,12,36,58.33333333,45.83333333,2,6/9/2006,12:13PM,11.80083,Female,20,Female
21,Erotic-Negative-Neutral,12,36,66.66666667,54.16666667,3,6/10/2006,12:06PM,11.45778,Female,20,Female
22,Erotic-Negative-Neutral,12,36,50,50,2,6/15/2006,12:35PM,10.61972,Female,22,Female
23,Erotic-Negative-Neutral,12,36,58.33333333,50,3.5,6/16/2006,2:10PM,13.01722,Male,22,Female
24,Erotic-Negative-Neutral,12,36,25,62.5,2,6/17/2006,10:19AM,9.883333,Female,19,Female
25,Erotic-Negative-Neutral,12,36,41.66666667,58.33333333,2.5,6/17/2006,10:44AM,12.80389,Female,19,Female
26,Erotic-Negative-Neutral,12,36,33.33333333,33.33333333,2.5,6/18/2006,11:18AM,10.97417,Female,21,Female
27,Erotic-Negative-Neutral,12,36,33.33333333,58.33333333,2.5,6/20/2006,3:46PM,8.28861,Male,21,Female
28,Erotic-Negative-Neutral,12,36,33.33333333,25,2.5,6/20/2006,5:08PM,11.94555,Female,18,Female
